Governor,Prompt,Element,Tarot,Colors,Filename
VALGARS,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with both hands raised in blessing pose. Chibi proportions with geometric structure head shape. Hair or bull-like sturdy build incorporating Water element symbolism. Outfit is unique: pearl_iridescent and deep_azure fluid draped garments with wave patterns with vesica_piscis, merkaba_star patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor VALGARS's profile: 'He who works with that which is', Aethyr LIL, Water element, Tarot The Hierophant, Sephirot Netzach, Zodiac Taurus. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Hierophant,"pearl_iridescent, deep_azure",VALGARS_art.png
VASTRIM,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a hands gently holding pose. Chibi proportions with geometric crystal-like structure head shape. Hair or mane-like flowing hair incorporating Earth element symbolism. Outfit is unique: emerald green and golden amber solid structured clothing with crystalline details with hexagonal, merkaba, flower_of_life patterns. Include subtle accessory like solar medallion. Emulate construction paper layering style exactly, but make this visually unique based on Governor VASTRIM's profile: 'He who is merciful', Aethyr RII, Earth element, Tarot Strength, Sephirot Tiphareth, Zodiac Leo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,Strength,"emerald green, golden amber",VASTRIM_art.png
VAUAAMP,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with arms crossed pose. Chibi proportions with geometric crystal-like structure head shape. Hair or ram-like curved horns incorporating Fire element symbolism. Outfit is unique: vermilion and electric gold angular armor with flame motifs with merkaba, flower_of_life, tetractys patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor VAUAAMP's profile: 'He who initiates action', Aethyr MAZ, Fire element, Tarot The Emperor, Sephirot Geburah, Zodiac Aries. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,The Emperor,"vermilion, electric gold",VAUAAMP_art.png
VIROOLI,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with arms crossed pose. Chibi proportions with geometric structure head shape. Hair or ram-like curved horns incorporating Water element symbolism. Outfit is unique: deep azure and silvery-white fluid draped garments with wave patterns with fractal wave, nested hexagonal patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor VIROOLI's profile: 'He who made the first nest', Aethyr ZOM, Water element, Tarot The Emperor, Sephirot Geburah, Zodiac Aries. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Emperor,"deep azure, silvery-white",VIROOLI_art.png
VIVIPOS,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric crystal-like structure head shape. Hair or precise geometric hair ornaments incorporating Fire element symbolism. Outfit is unique: saffron-gold and deep amber angular armor with flame motifs with hexagonal matrix, spiraling fractal patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor VIVIPOS's profile: 'She of many repetitions', Aethyr VTA, Fire element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,The Hermit,"saffron-gold, deep amber",VIVIPOS_art.png
VIXPALG,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a crouched with chains pose. Chibi proportions with geometric crystal-like structure head shape. Hair or goat-like horns and beard incorporating Air element symbolism. Outfit is unique: midnight black and electric silver ethereal flowing robes with geometric patterns with octahedral, fractal spirals patterns. Include subtle accessory like cup of understanding. Emulate construction paper layering style exactly, but make this visually unique based on Governor VIXPALG's profile: 'He who consumes', Aethyr ASP, Air element, Tarot The Devil, Sephirot Binah, Zodiac Capricorn. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Devil,"midnight black, electric silver",VIXPALG_art.png
VOANAMB,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a holding scales in one hand pose. Chibi proportions with geometric crystal-like structure head shape. Hair or balanced symmetrical design incorporating Fire element symbolism. Outfit is unique: amber-gold and luminous crimson angular armor with flame motifs with Merkaba, Flower of Life, Vesica Piscis patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor VOANAMB's profile: 'He to whom truth is relative', Aethyr VTA, Fire element, Tarot Justice, Sephirot Netzach, Zodiac Libra. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Justice,"amber-gold, luminous crimson",VOANAMB_art.png
YALPAMB,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a dancing in cosmic circle pose. Chibi proportions with geometric crystal-like structure head shape. Hair or goat-like horns and beard incorporating Air element symbolism. Outfit is unique: luminous silver-white and translucent azure ethereal flowing robes with geometric patterns with fractal tetrahedron, merkaba star, flower of life patterns. Include subtle accessory like cup of understanding. Emulate construction paper layering style exactly, but make this visually unique based on Governor YALPAMB's profile: 'He who is the beginning and the end', Aethyr ZEN, Air element, Tarot The World, Sephirot Binah, Zodiac Capricorn. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The World,"luminous silver-white, translucent azure",YALPAMB_art.png
ZAFASAI,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric crystal-like structure head shape. Hair or precise geometric hair ornaments incorporating Air element symbolism. Outfit is unique: silver-white and pale azure ethereal flowing robes with geometric patterns with dodecahedron, fractal lattice, merkaba patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor ZAFASAI's profile: 'He who is in emptiness', Aethyr ZEN, Air element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Hermit,"silver-white, pale azure",ZAFASAI_art.png
ZAMFRES,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with reins in hands pose. Chibi proportions with geometric structure head shape. Hair or shell-like protective elements incorporating Fire element symbolism. Outfit is unique: luminous amber and electric blue angular armor with flame motifs with hexagonal fractal, merkaba star, flower of life patterns. Include subtle accessory like lunar crescent. Emulate construction paper layering style exactly, but make this visually unique based on Governor ZAMFRES's profile: 'He who appears when praised', Aethyr ZID, Fire element, Tarot The Chariot, Sephirot Yesod, Zodiac Cancer. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,The Chariot,"luminous amber, electric blue",ZAMFRES_art.png
ZAXANIN,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a one arm raised, one pointing down pose. Chibi proportions with geometric crystal-like structure head shape. Hair or twin-like symmetrical features incorporating Earth element symbolism. Outfit is unique: emerald green and silver-white solid structured clothing with crystalline details with hexagonal, fractal, metatron's cube patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor ZAXANIN's profile: 'He who names things', Aethyr TOR, Earth element, Tarot The Magician, Sephirot Hod, Zodiac Gemini. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Magician,"emerald green, silver-white",ZAXANIN_art.png
ZILDRON,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a arms raised as if struck by lightning pose. Chibi proportions with geometric crystal-like structure head shape. Hair or ram-like curved horns incorporating Air element symbolism. Outfit is unique: electric blue and silver-white ethereal flowing robes with geometric patterns with tetrahedron, fractal spirals, merkaba patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor ZILDRON's profile: 'He who sets in flight', Aethyr CHR, Air element, Tarot The Tower, Sephirot Geburah, Zodiac Aries. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Tower,"electric blue, silver-white",ZILDRON_art.png
ZIRZIRD,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a striding forward with scythe pose. Chibi proportions with geometric crystal-like structure head shape. Hair or sharp angular features incorporating Fire element symbolism. Outfit is unique: obsidian black and molten crimson angular armor with flame motifs with fractal, merkaba, flower_of_life patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor ZIRZIRD's profile: 'He who was and will be', Aethyr MAZ, Fire element, Tarot Death, Sephirot Geburah, Zodiac Scorpio. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Death,"obsidian black, molten crimson",ZIRZIRD_art.png
